modelrun_id,modelrun_alias,geography,area_detail,year,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Santa Clara,2050,1665110.0,1863701.0,210023.0,0.11269135982649578,1023988.0,1065770.0,52167.0,0.04894770916801937
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Solano,2050,151365.0,214036.0,65865.0,0.30772860640266125,42594.0,48282.0,7292.0,0.15102936912306864
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,county,Sonoma,2050,282368.0,336102.0,56375.0,0.16773181950717342,183969.0,214836.0,31977.0,0.14884376920069262
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,area_type,rural,2050,288520.0,366503.0,92062.0,0.25119030403571047,134694.0,156003.0,22822.0,0.14629205848605475
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,area_type,suburban,2050,1327518.0,1668757.0,363216.0,0.21765661507337497,648486.0,711614.0,69816.0,0.0981093682811187
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,area_type,urban,2050,3818166.0,4259394.0,481830.0,0.11312172576662315,2710181.0,2794498.0,111863.0,0.040029729847722205
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,1.0,2023,404115.0,287660.60000000003,81758.8,0.28421966720503256,285304.0,166864.0,26331.6,0.15780276153034806
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,2.0,2023,111552.0,112575.6,51960.4,0.4615600538660242,72303.0,41474.8,5293.6,0.12763412964016704
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,3.0,2023,192695.0,209906.2,111345.0,0.5304512205928171,134312.0,70981.0,5691.6,0.080184838196137
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,4.0,2023,31080.0,48264.6,33405.6,0.6921346079735459,18233.0,9386.2,675.6,0.07197801027039696
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,5.0,2023,135109.0,181074.6,112027.59999999999,0.6186820238730335,62856.0,36294.6,1917.0000000000002,0.05281777454497364
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,6.0,2023,115684.0,158409.0,104015.0,0.6566230454077735,67520.0,40273.6,6499.200000000001,0.161376186881729
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,7.0,2023,164832.0,176197.4,97846.2,0.5553214746642119,107613.0,55683.0,2674.0000000000005,0.04802183790384858
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,8.0,2023,174194.0,201620.8,117525.8,0.5829051367716029,111952.0,57101.4,2876.6000000000004,0.0503770485487221
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,Final Blueprint,superdistrict,9.0,2023,391057.0,367645.2,160014.19999999998,0.435240824577609,175781.0,103307.6,6273.400000000001,0.06072544517537916
